num	data		d1	d2	d3	d4	d5	d6	acertos
1	11/03/1996	4	5	30	33	41	52	0
2	18/03/1996	9	37	39	41	43	49	1
3	25/03/1996	10	11	29	30	36	47	2
4	01/04/1996	1	5	6	27	42	59	0
5	08/04/1996	1	2	6	16	19	46	0
6	15/04/1996	7	13	19	22	40	47	0
7	22/04/1996	3	5	20	21	38	56	0
8	29/04/1996	4	17	37	38	47	53	0
9	06/05/1996	8	43	54	55	56	60	0
10	13/05/1996	4	18	21	25	38	57	0
11	20/05/1996	15	25	37	38	58	59	1
12	27/05/1996	4	16	19	20	27	43	0
13	03/06/1996	18	32	47	50	54	56	0
14	10/06/1996	2	16	23	27	47	53	0
15	17/06/1996	12	33	35	51	52	60	0
16	24/06/1996	20	32	34	49	58	60	0
17	01/07/1996	6	10	13	19	20	51	1
18	08/07/1996	23	27	36	37	42	56	0
19	15/07/1996	5	10	12	24	25	60	0
20	22/07/1996	11	25	28	30	33	51	0
21	29/07/1996	6	33	36	46	49	53	0
22	05/08/1996	1	9	31	38	46	56	0
23	12/08/1996	17	37	39	51	52	59	0
24	19/08/1996	1	8	14	28	33	43	1
25	25/08/1996	24	43	50	54	55	56	0
26	01/09/1996	10	22	50	53	57	58	0
27	08/09/1996	13	17	20	33	44	51	0
28	15/09/1996	3	6	22	24	54	60	0
29	22/09/1996	3	8	14	43	56	58	1
30	29/09/1996	7	14	15	29	38	50	0
31	06/10/1996	17	19	28	45	48	56	0
32	13/10/1996	5	14	33	36	43	44	0
33	20/10/1996	5	17	33	39	42	49	1
34	27/10/1996	13	15	17	40	53	57	0
35	03/11/1996	4	16	21	23	54	57	0
36	10/11/1996	3	13	17	25	29	51	0
37	17/11/1996	6	7	22	38	52	60	0
38	24/11/1996	10	42	43	45	54	55	0
39	01/12/1996	12	16	37	45	52	56	0
40	08/12/1996	3	5	8	12	46	47	0
41	15/12/1996	12	26	35	38	39	47	1
42	22/12/1996	7	11	19	24	33	36	0
43	29/12/1996	2	6	17	25	26	58	0
44	05/01/1997	14	18	29	38	44	47	0
45	12/01/1997	7	30	37	44	53	55	0
46	19/01/1997	1	23	24	32	46	60	0
47	26/01/1997	3	17	25	35	48	56	0
48	02/02/1997	2	5	28	34	47	50	0
49	09/02/1997	7	13	33	35	43	55	1
50	16/02/1997	6	16	21	44	57	58	0
51	23/02/1997	17	23	24	25	42	47	0
52	02/03/1997	15	30	38	46	58	59	0
53	09/03/1997	3	13	16	38	42	46	0
54	16/03/1997	5	9	18	21	36	56	2
55	23/03/1997	2	14	23	29	38	52	0
56	30/03/1997	2	7	20	35	51	59	0
57	06/04/1997	7	16	17	27	34	59	0
58	13/04/1997	12	27	30	37	44	49	1
59	20/04/1997	2	8	13	28	34	54	0
60	27/04/1997	3	14	15	20	21	38	0
61	04/05/1997	8	18	29	42	44	59	0
62	11/05/1997	6	8	13	24	31	52	0
63	18/05/1997	9	25	26	40	41	49	1
64	25/05/1997	8	12	23	50	54	60	0
65	01/06/1997	1	5	20	25	32	34	0
66	08/06/1997	12	13	15	26	33	48	0
67	15/06/1997	12	14	17	27	47	52	0
68	22/06/1997	1	3	12	13	53	59	0
69	29/06/1997	25	34	45	53	56	58	0
70	06/07/1997	17	23	27	40	43	58	0
71	13/07/1997	16	27	33	43	45	53	0
72	20/07/1997	1	19	34	43	44	48	0
73	27/07/1997	25	26	28	45	51	57	1
74	03/08/1997	2	24	34	37	38	50	0
75	10/08/1997	21	24	35	36	37	49	0
76	17/08/1997	8	17	18	23	33	53	0
77	24/08/1997	21	29	40	49	54	57	0
78	31/08/1997	12	22	25	31	32	46	0
79	07/09/1997	2	13	17	25	31	43	1
80	14/09/1997	23	28	37	40	48	51	0
81	21/09/1997	10	23	41	47	54	60	0
82	28/09/1997	15	18	29	36	51	53	1
83	05/10/1997	4	15	16	24	42	57	0
84	12/10/1997	4	6	10	25	34	40	0
85	19/10/1997	6	15	30	37	45	47	0
86	26/10/1997	6	21	22	34	36	54	0
87	02/11/1997	4	5	11	28	32	40	0
88	09/11/1997	4	18	29	37	43	45	0
89	16/11/1997	13	34	42	44	55	59	0
90	23/11/1997	9	21	26	40	52	54	1
91	30/11/1997	2	4	10	35	39	60	0
92	07/12/1997	1	3	5	23	24	51	0
93	14/12/1997	2	22	28	31	36	53	0
94	21/12/1997	8	18	28	51	52	55	0
95	28/12/1997	6	40	45	46	50	60	0
96	04/01/1998	4	7	26	40	42	58	1
97	11/01/1998	5	11	14	35	53	56	1
98	18/01/1998	13	14	31	33	35	43	0
99	25/01/1998	11	24	30	33	46	60	0
100	01/02/1998	14	29	30	46	48	51	0
101	08/02/1998	1	18	29	31	37	39	0
102	15/02/1998	19	20	37	42	44	56	1
103	22/02/1998	1	7	9	49	54	57	1
104	01/03/1998	1	4	13	21	38	52	0
105	08/03/1998	3	13	31	43	46	49	0
106	15/03/1998	5	16	24	35	38	39	0
107	22/03/1998	2	4	16	24	51	52	0
108	29/03/1998	21	24	29	34	59	60	0
109	04/04/1998	1	13	44	48	49	54	0
110	11/04/1998	18	31	43	52	57	58	0
111	18/04/1998	4	22	25	32	33	52	0
112	25/04/1998	12	20	34	37	42	43	1
113	02/05/1998	7	26	28	34	54	55	0
114	09/05/1998	6	12	18	37	47	54	0
115	16/05/1998	4	6	14	20	24	38	0
116	23/05/1998	5	13	32	36	42	51	0
117	30/05/1998	20	25	27	33	42	53	0
